School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,In State Tuition,Out of State Tuition
DePaul University,Midwestern,"$46,400.00 ","$84,800.00 ","$50,300.00 ","$63,900.00 ","$115,000.00 ","$160,000.00 ",54210,54210
Iowa State University,Midwestern,"$45,400.00 ","$84,600.00 ","$44,400.00 ","$60,000.00 ","$109,000.00 ","$147,000.00 ",17708,32112
University of Minnesota,Midwestern,"$46,200.00 ","$84,200.00 ","$49,000.00 ","$63,200.00 ","$112,000.00 ","$148,000.00 ",N/A,N/A
"Indiana University (IU), Bloomington",Midwestern,"$46,300.00 ","$84,000.00 ","$43,600.00 ","$60,400.00 ","$119,000.00 ","$178,000.00 ",N/A,N/A
University of Iowa (UI),Midwestern,"$44,700.00 ","$83,900.00 ","$43,300.00 ","$61,100.00 ","$116,000.00 ","$163,000.00 ",20439,42405
Ohio State University (OSU),Midwestern,"$44,900.00 ","$83,700.00 ","$45,500.00 ","$60,700.00 ","$116,000.00 ","$162,000.00 ",N/A,N/A
Denison University,Midwestern,"$42,000.00 ","$83,500.00 ",N/A,"$62,100.00 ","$122,000.00 ",N/A,64670,64670
University of Illinois at Chicago,Midwestern,"$47,500.00 ","$81,700.00 ","$44,700.00 ","$58,800.00 ","$110,000.00 ","$146,000.00 ",25838,39054
Oberlin College,Midwestern,"$43,400.00 ","$81,600.00 ",N/A,"$46,400.00 ","$128,000.00 ",N/A,71392,71392
University of Kansas,Midwestern,"$42,400.00 ","$81,600.00 ","$44,800.00 ","$57,200.00 ","$115,000.00 ","$156,000.00 ",21498,37708
